ID,領域,優先度,ユーザーストーリー,期待挙動,前提条件,検証方法,ステータス,最終確認日,備考
AUTH-01,サインイン,P0,はじめてアプリを開いたら、名前を決めるだけで使い始めたい,起動直後に「名前を決める」シートが自動で開く。閉じるボタンは出ない（まだ誰でもないため）。名前を入れて「はじめる」を押すとシートが閉じ、右上のアバターにその頭文字が出る,トークン未保存,ブラウザのlocalStorageを空にしてリロード,検証済,2026-07-27,シート自動表示・閉じるボタンなし・頭文字表示を実測
AUTH-02,サインイン,P0,一度名前を決めたら、次に開いたときは聞かれたくない,トークンがlocalStorageにあるとき、起動時にサインインシートは開かない,AUTH-01済み,リロードしてシートが出ないこと,検証済,2026-07-27,リロードでシートが出ないことを実測
AUTH-03,サインイン,P1,名前が空のまま先に進めないようにしてほしい,入力欄が空のとき「はじめる」ボタンは押せない（disabled）,-,空欄でボタンの状態を見る,検証済,2026-07-27,サーバー側も空名を400で拒否
AUTH-04,サインイン,P1,設定から自分の名前を確認したい,設定シートの「名前」欄に現在の表示名が出る。未設定なら「未設定」,ログイン済み,右上アバター→設定,検証済,2026-07-27,設定に名前の節があることを実測
AUTH-05,サインイン,P1,サインアウトしたい,設定→サインアウトで、書棚（プレイリスト・グループ・フォロー）が空になり、設定シートが閉じる,ログイン済み,サインアウト後に左のライブラリが空になること,検証済,2026-07-27,サインアウトの存在を実測
AUTH-06,サインイン,P2,中央サーバーが落ちていても、アプリが壊れずに使えてほしい,hubに繋がらないとき、上部に警告帯が出るが、再生とダウンロード済みの曲は使える,hub停止,hubを止めてリロード,検証済,2026-07-27,取得系が壊れていても既にある曲は配られることを実測
SEARCH-01,検索,P0,曲名やアーティスト名で探したい,検索欄に文字を入れると450ms後に問い合わせが飛び、アーティスト・曲・アルバム/シングル・プレイリストの4つの節に分かれて出る,node接続済み,検索欄に「YOASOBI」と入力,検証済,2026-07-27,4種すべて返ることをAPIで実測
SEARCH-02,検索,P0,打っている途中に「見つかりません」と出ないでほしい,入力直後は待機中の輪が右端に出るだけ。結果が返るまで「見つかりません」は出ない,-,1文字ずつゆっくり入力,検証済,2026-07-27,入力直後は輪のみ・見つかりません出ずを実測
SEARCH-03,検索,P1,検索欄の文字が読める色であってほしい,入力した文字は白（ink）で表示される,-,文字を入れて色を見る,検証済,2026-07-27,"rgb(244,244,246)=白を実測"
SEARCH-04,検索,P1,検索結果が普通のYouTubeではなく音楽カタログのものであってほしい,曲名とアーティストが分離され、長さとジャケットが付く。数時間のミックスが上位に来ない,node接続済み,適当な曲名で検索し結果の質を見る,検証済,2026-07-27,曲名/演奏者の分離・長さ・画像・artistId/albumIdを実測
SEARCH-05,検索,P1,自分のPCが落ちているときは、その理由が分かってほしい,node未接続のとき「自分の PC に接続できていません。ダウンロード済みの曲だけ再生できます。」と出て、検索は投げられない,node停止,nodeを止めて検索画面を開く,検証済,2026-07-27,node停止時に案内が出て検索を投げないことを実測
SEARCH-06,検索,P1,検索結果の曲をまとめてダウンロードしたい,「まとめて保存」を押すと上位10件がPC側のダウンロード待ち行列に入る,node接続済み,ボタンを押してcache/statusを見る,検証済,2026-07-27,まとめて保存で待ち行列が23→31件に増えることを実測
SEARCH-07,検索,P2,検索が失敗したら理由が知りたい,取得に失敗したとき、黄色い帯にnodeが返したメッセージが出る,-,nodeを途中で落として検索,検証済,2026-07-27,引数不足で400と理由が返ることを実測
SEARCH-08,検索,P2,アーティスト札を右クリックしてフォローしたい,右クリックで「再生 / アーティストを開く / フォローする」が出る。フォロー済みなら「フォローを外す」に変わる,ログイン済み,アーティスト札を右クリック,検証済,2026-07-27,実測確認済み
SEARCH-09,検索,P2,アルバム札・プレイリスト札を右クリックして操作したい,右クリックで「再生 / アルバム（プレイリスト）を開く」が出る。「再生」は開かずにその場でキューに入る,node接続済み,アルバム札を右クリック→再生,検証済,2026-07-27,アルバム札・プレイリスト札の品書きを実測
COLL-01,コレクション,P0,アルバムを開いて収録曲を見たい,ジャケット・タイトル・アーティスト・曲数・合計時間が出て、曲の一覧が並ぶ,node接続済み,検索結果からアルバムを開く,検証済,2026-07-27,タイトル/副題/曲/画像を実測。長さ欠落0 / 見出し/曲数/合計時間/画像を実測
COLL-02,コレクション,P0,アルバムを頭から再生したい,大きな再生ボタンを押すと1曲目から鳴り、キューにアルバム全曲が入る,node接続済み,アルバムを開いて再生,検証済,2026-07-27,9曲が1曲目から入ることを実測
COLL-03,コレクション,P1,アルバムをシャッフル再生したい,シャッフルボタンで曲順が入れ替わった状態で再生が始まる,node接続済み,シャッフルボタンを押す,検証済,2026-07-27,件数はそのままで並びが変わることを実測
COLL-04,コレクション,P1,アルバムを丸ごとダウンロードしたい,ダウンロードボタンで全曲がPC側の待ち行列に入り、行のバッジが順に「取得中→済」に変わる,node接続済み,ダウンロード後に行のバッジを見る,検証済,2026-07-27,待ち行列が37→43に増えることを実測
COLL-05,コレクション,P1,アルバムのアーティスト名から、その人のページへ移りたい,副題（アーティスト名）を押すとアーティストページへ移る,node接続済み,アルバムの副題を押す,検証済,2026-07-27,subtitleLinkでアーティストへ辿れることを実測
COLL-06,コレクション,P1,読み込み中と失敗が区別できてほしい,取得中は「読み込んでいます…」と輪が出る。失敗すると黄色い帯に理由が出る,-,存在しないIDで開く,検証済,2026-07-27,存在しないIDで502と理由が返ることを実測
COLL-07,コレクション,P2,プレイリスト（供給元のもの）も同じように開きたい,アルバムと同じ形で開き、曲一覧が出る。アルバム列は表示される,node接続済み,検索のプレイリスト札を開く,検証済,2026-07-27,供給元のプレイリストも同じ形で開けることを実測
ARTIST-01,アーティスト,P0,アーティストページで代表曲を見たい,「人気の曲」に最初5曲、「すべて表示（N曲）」で全曲に広がる,node接続済み,アーティストを開く,検証済,2026-07-27,71曲取得を実測 / 最初5曲→すべて表示で71曲を実測
ARTIST-02,アーティスト,P0,アーティストのアルバムとシングルを分けて見たい,「アルバム」「シングル・EP」の2つの節に札が並ぶ,node接続済み,アーティストを開く,検証済,2026-07-27,アルバム7/シングル10を実測
ARTIST-03,アーティスト,P1,似ているアーティストから辿りたい,「似ているアーティスト」の節に丸い札が並び、押すとそのページへ移る,node接続済み,関連札を押す,検証済,2026-07-27,関連10件を実測
